Year Released,Album Length,Album Name,Artist
2021,2268088,Wildest Dreams,Majid Jordan
2017,2979349,The Space Between,Majid Jordan
2016,3105513,Majid Jordan,Majid Jordan
2021,2673006,Sling,Clairo
2019,2439529,Immunity,Clairo
2021,2976549,Trip At Knight (Complete Edition),Trippie Redd
2021,6823477,Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe),Trippie Redd
2020,4852246,Pegasus (Spooky Sounds Edition),Trippie Redd
2020,4463123,Pegasus,Trippie Redd
2020,4982357,A Love Letter To You 4 (Deluxe),Trippie Redd
2019,3548361,A Love Letter To You 4,Trippie Redd
2019,2171515,!,Trippie Redd
2018,2626781,A Love Letter To You 3,Trippie Redd
2018,2803200,LIFE'S A TRIP,Trippie Redd
2017,2880301,A Love Letter To You 2,Trippie Redd
2017,2165037,A Love Letter To You,Trippie Redd
2021,2160578,Alone At Prom,Tory Lanez
2021,1926865,PLAYBOY Live,Tory Lanez
2021,2781636,PLAYBOY,Tory Lanez
2020,1936478,Loner,Tory Lanez
2020,3973033,DAYSTAR,Tory Lanez
2020,2654381,The New Toronto 3,Tory Lanez
2019,4216249,Chixtape 5,Tory Lanez
2018,3273796,LoVE me NOw (ReLoAdeD),Tory Lanez
2018,4209783,MEMORIES DON'T DIE,Tory Lanez
2017,4209783,MEMORIES DON'T DIE,Tory Lanez
2016,4768443,I Told You,Tory Lanez
2021,3821220,The Melodic Blue,Baby Keem
2019,2045065,DIE FOR MY BITCH,Baby Keem
2018,1320547,The Sound of Bad Habit,Baby Keem
2020,3863523,Load It Up Vol. 01,03 Greedo
2019,2089397,Netflix & Deal,03 Greedo
2019,2264853,Still Summer In The Projects,03 Greedo
2018,5886280,God Level,03 Greedo
2018,3872974,The Wolf of Grape Street,03 Greedo
2017,2412254,First Night Out,03 Greedo
2017,5802750,Money Changes Everything,03 Greedo
2017,5231933,Purple Summer 03,03 Greedo
2016,7063120,Purple Summer 2: Son Don't Shine,03 Greedo
2016,7192598,Purple Summer,03 Greedo
2021,3600411,We Love You Tecca 2 (Deluxe),Lil Tecca
2021,2858241,We Love You Tecca 2,Lil Tecca
2020,2741460,Virgo World,Lil Tecca
2019,2574474,We Love You Tecca,Lil Tecca
2021,1095917,That Was Then,Trevor Daniel
2020,1555921,Nicotine,Trevor Daniel
2019,1286375,Run Wild Run Free,Zacari
2021,1743108,RatedStar,FLEE
2019,2423420,XOOL SUMMER,FLEE
2018,1588925,HAPPY BIRTHDAY 2 FLEE,FLEE
2018,2272709,FLEE COBAIN,FLEE
2017,1442860,HAPPY BIRTHDAY FLEE,FLEE
2017,1593651,Flee Going Stoopid,FLEE
2021,2224869,TTB: STREETS CHOSE ME,Thouxanbanfauni
2021,3662491,Time of My Life,Thouxanbanfauni
2020,1865997,FALL,Thouxanbanfauni
2020,2383211,CLAIRVOYANCE,Thouxanbanfauni
2019,1480351,OCTOBER 34TH,Thouxanbanfauni
2019,1222454,SEEIN COLORS,Thouxanbanfauni
2019,2430246,For Christ Sake 2,Thouxanbanfauni
2018,2336890,Requiem,Thouxanbanfauni
2018,4341030,The Lost Files,Thouxanbanfauni
2017,2749078,The Exfiles,Thouxanbanfauni
2017,2750705,The Ex Files,Thouxanbanfauni
2017,2040492,Heavy Weight Champ,Thouxanbanfauni
2020,2653161,Hey u x,BENEE
2019,1090748,Heroine,Col3trane
2018,1166218,BOOT,Col3trane
2018,1765648,Tsarina,Col3trane
2021,2503638,F*@k It... Burn It All Down,Bari
2020,2502251,F*@k It... Burn It All Down,Bari
2020,2276020,Layer Cake,Bari
2019,1710636,Neva Look Back,Bari
2019,2197937,MSTRGLSS,Bari
2018,3977456,QUAVO HUNCHO,Quavo
2017,2493789,"Huncho Jack, Jack Huncho",Huncho Jack
2021,2537904,BPL,D. Savage
2019,2401510,Trust No One,D. Savage
2018,1103654,D Phoenix,D. Savage
2018,6100408,SR3MM,Rae Sremmurd
2016,3348716,SremmLife 2 (Deluxe),Rae Sremmurd
2015,2736543,SremmLife,Rae Sremmurd
2016,3617335,Blonde,Frank Ocean
2012,3347451,channel ORANGE,Frank Ocean
2020,1594292,Fuck The World,Brent Faiyaz
2017,2546117,Sonder Son,Brent Faiyaz
2017,1541598,Into,Sonder
2018,2887259,august,Ryan Trey
2021,2786062,TEMPORARY HIGHS IN THE VIOLET SKIES,Snoh Aalegra
2019,2418639,"- Ugh, those feels again",Snoh Aalegra
2017,2490271,FEELS,Snoh Aalegra
2016,1555663,Don’t Explain,Snoh Aalegra
2019,2585773,CASE STUDY 01,Daniel Caesar
2017,2691994,Freudian,Daniel Caesar
2015,1466140,Pilgrim's Paradise,Daniel Caesar
2018,3534022,NOIR,Smino
2017,3802401,blkswn,Smino
2020,1448989,PARTYPACK,PARTYNEXTDOOR
2020,3385222,PARTYMOBILE,PARTYNEXTDOOR
2017,1709106,Seven Days,PARTYNEXTDOOR
2016,3951553,PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR
2014,2730750,PARTYNEXTDOOR TWO,PARTYNEXTDOOR
2013,1717937,PARTYNEXTDOOR,PARTYNEXTDOOR
2021,1099998,A Different Christmas,Bryson Tiller
2021,2723940,A N N I V E R S A R Y (Deluxe),Bryson Tiller
2020,1849969,A N N I V E R S A R Y,Bryson Tiller
2020,3438672,T R A P S O U L (Deluxe),Bryson Tiller
2017,3507488,True to Self,Bryson Tiller
2015,2704930,T R A P S O U L,Bryson Tiller
2021,2414891,times,SG Lewis
2021,3170010,CALL ME IF YOU GET LOST,"Tyler, The Creator"
2019,2386902,IGOR,"Tyler, The Creator"
2017,2799876,Flower Boy,"Tyler, The Creator"
2015,3250342,Cherry Bomb,"Tyler, The Creator"
2015,6585871,Cherry Bomb + Instrumentals,"Tyler, The Creator"
2013,4250767,Wolf,"Tyler, The Creator"
2011,4932541,Goblin,"Tyler, The Creator"
2021,5173117,Certified Lover Boy,Drake
2020,2995371,Dark Lane Demo Tapes,Drake
2019,4425273,Care Package,Drake
2019,4437727,So Far Gone,Drake
2018,5426391,Scorpion,Drake
2017,4899126,More Life,Drake
2016,4875485,Views,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2013,4076943,Nothing Was The Same (Deluxe),Drake
2013,3568770,Nothing Was The Same,Drake
2011,5005808,Take Care (Deluxe),Drake
2010,3668663,Thank Me Later,Drake
2009,4437710,So Far Gone,Drake
2020,3932301,After Hours (Deluxe),The Weeknd
2020,3377568,After Hours,The Weeknd
2018,1536183,"My Dear Melancholy,",The Weeknd
2016,4116075,Starboy,The Weeknd
2015,3912796,Beauty Behind The Madness,The Weeknd
2013,3339890,Kiss Land,The Weeknd
2012,9576201,Trilogy,The Weeknd
2011,3019416,Thursday (Original),The Weeknd
2011,2963231,House Of Balloons (Original),The Weeknd
2020,1702398,Beautiful Havoc,$NOT
2020,1757921,- TRAGEDY +,$NOT
2021,2093448,Under The Weather,HOMESHAKE
2019,2534872,Helium Remixes,HOMESHAKE
2019,1997951,Helium,HOMESHAKE
2017,2592807,Fresh Air,HOMESHAKE
2015,2001232,Midnight Snack,HOMESHAKE
2014,1790634,In the Shower,HOMESHAKE
2021,3353638,Fighting Demons,Juice WRLD
2021,3117069,Goodbye & Good Riddance (Anniversary),Juice WRLD
2020,3528040,Legends Never Die,Juice WRLD
2019,4333609,Death Race For Love,Juice WRLD
2018,2850485,Goodbye & Good Riddance,Juice WRLD
2018,2976502,Future & Juice WRLD Present... WRLD ON DRUGS,Future
2020,2490824,Sin Miedo (del Amor y Otros Demonios) ∞ [Deluxe Version],Kali Uchis
2020,2082134,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis
2018,2797161,Isolation,Kali Uchis
2015,1867033,Por Vida,Kali Uchis
2021,1982943,Long Term Effects of SUFFERING,$uicideboy$
2020,1567035,Stop Staring at the Shadows,$uicideboy$
2018,2549043,I Want to Die In New Orleans,$uicideboy$
2016,1866678,Eternal Grey,$uicideboy$
2016,975985,Grey Sheep II,$uicideboy$
2016,1531136,Dark Side of the Clouds,$uicideboy$
2015,1207190,Now the Moon's Rising,$uicideboy$
2015,1762666,My Liver Will Handle What My Heart Can't,$uicideboy$
2015,891458,Grey Sheep,$uicideboy$
2015,1551644,High Tide in the Snake's Nest,$uicideboy$
2015,1683439,YUNGDEATHLILLIFE,$uicideboy$
2015,1660127,7th or St. Tammany,$uicideboy$
2015,1081025,Black $uicide Side B: $uicide Hustle,$uicideboy$
2015,2373072,Gray/Grey,$uicideboy$
2015,1104431,KILL YOURSELF Part X: The Resurrection Saga,$uicideboy$
2014,1121603,KILL YOURSELF Part VII: The Fuck God Saga,$uicideboy$
2020,1231913,Day Ends,Xadi
2021,1890617,Rager Tapes,Tre Savage
2021,1390357,Valencia,Yeek
2017,2395295,Sebastian,Yeek
2015,1815003,Love Slacker,Yeek
2021,1683288,wayside,Koi
2021,959832,10&2,Koi
2020,1189710,before it's too late,Koi
2019,1523242,i do my best <3,Koi
2018,1659737,2004,Koi
2020,5955162,B4 The Storm (Complete Edition),Internet Money
2020,2893746,B4 The Storm,Internet Money
2020,1944901,american spirit,lilspirit
2021,1364697,Natural Selection,The Droid
2021,2824874,Peak Of Molly,MDMA
2020,1902601,Genie (Deluxe),MDMA
2020,1260382,Genie,MDMA
2019,2390495,Witchcraft,MDMA
2021,3543567,"ROADRUNNER: NEW LIGHT, NEW MACHINE PLUS PACK",BROCKHAMPTON
2021,2798239,"ROADRUNNER: NEW LIGHT, NEW MACHINE",BROCKHAMPTON
2019,2656396,GINGER,BROCKHAMPTON
2018,2929115,iridescence,BROCKHAMPTON
2017,2782181,SATURATION III,BROCKHAMPTON
2017,2888980,SATURATION II,BROCKHAMPTON
2017,3062538,SATURATION,BROCKHAMPTON
2016,2300311,ALL-AMERICAN TRASH,BROCKHAMPTON
2019,1282599,JACKBOYS,JACKBOYS
2018,3522261,ASTROWORLD,Travis Scott
2016,3225190,Birds In The Trap Sing McKnight,Travis Scott
2015,4527049,Rodeo (Expanded Edition),Travis Scott
